Dataset,MajorityClass,Grassland,Wetland,Bareland,Forest,Water,Cropland,Built-up,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NKN_M_R,Shrubland,3,1,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKN_M_R,Grassland,0,11,6,14,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKN_M_R,Cropland,14,5,1,9,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKN_M_R,Wetland,99,0,20,73,37,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKN_M_R,Bareland,23,2,0,8,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKN_M_R,Built-up,6,0,5,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKN_M_R,Water,103,70,42,98,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKN_M_R,Forest,81,39,29,0,31,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NKN_M_R,Permanent_ice_and_snow,34,21,5,24,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKN_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKN_M_R,Grassland,0,6,0,0,1,0,0,28,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKN_M_R,Forest,0,33,0,0,17,0,0,104,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKN_M_R,Wetland,0,0,0,0,13,0,0,148,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKN_M_R,Water,0,50,0,0,0,0,0,68,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKN_M_R,Cropland,0,0,0,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKN_M_R,Bareland,0,4,0,0,1,0,0,6,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NKN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,43,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKN_M_R,Shrubland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKN_M_R,Grassland,0,0,0,0,21,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKN_M_R,Wetland,0,0,0,0,94,0,0,0,26,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKN_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKN_M_R,Water,0,0,0,0,0,0,0,0,91,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKN_M_R,Forest,0,0,0,0,88,0,0,0,28,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKN_M_R,Cropland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKN_M_R,Bareland,0,0,0,0,8,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NKN_M_R,Permanent_ice_and_snow,0,0,0,0,19,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKN_M_R,Water,69,50,30,71,0,19,15,0,0,61,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKN_M_R,Wetland,32,0,21,34,13,7,14,0,0,29,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKN_M_R,Bareland,9,4,0,17,1,3,4,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKN_M_R,Built-up,3,0,0,3,0,3,0,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKN_M_R,Forest,53,33,32,0,17,31,33,0,0,54,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKN_M_R,Grassland,0,6,2,12,1,6,2,0,0,10,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKN_M_R,Cropland,6,0,1,8,0,0,1,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NKN_M_R,Permanent_ice_and_snow,18,0,17,21,0,8,9,0,0,30,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKN_M_R,Grassland,0,12,1,22,16,1,7,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKN_M_R,Water,0,73,22,57,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKN_M_R,Forest,0,52,4,0,48,0,19,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKN_M_R,Wetland,0,0,6,38,30,0,6,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKN_M_R,Bareland,0,4,0,2,9,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKN_M_R,Cropland,0,0,0,5,3,0,6,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NKN_M_R,Permanent_ice_and_snow,0,22,2,21,14,0,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKN_M_R,Wetland,9,0,17,47,36,9,0,0,0,0,48
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKN_M_R,Water,11,25,24,59,0,13,0,0,0,0,62
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKN_M_R,Forest,14,21,12,0,25,14,0,0,0,0,40
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKN_M_R,Grassland,0,5,6,11,5,6,0,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKN_M_R,Built-up,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20NKN_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0
