Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Water,Forest,Built-up,Cropland,Bareland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
SIBERIA_2024_WorldCover_2021_41WNM_M_R,Shrubland,3,3,1,1,3,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNM_M_R,Grassland,0,1,0,0,2,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNM_M_R,Cropland,6,4,1,0,5,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNM_M_R,Wetland,37,0,0,23,30,4,3,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNM_M_R,Lichens_and_Mosses,1,1,0,1,3,0,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNM_M_R,Bareland,3,4,1,3,5,1,0,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNM_M_R,Built-up,18,9,2,8,14,0,0,10,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNM_M_R,Water,32,31,1,0,28,6,0,7,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNM_M_R,Forest,19,21,4,11,0,2,0,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_41WNM_M_R,Permanent_ice_and_snow,3,2,0,0,1,0,0,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNM_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNM_M_R,Grassland,0,0,0,0,0,0,0,0,4,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNM_M_R,Cropland,0,0,0,0,0,0,0,0,4,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNM_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNM_M_R,Bareland,0,0,0,0,0,0,0,0,4,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNM_M_R,Built-up,0,2,0,0,0,0,0,0,11,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNM_M_R,Forest,0,3,0,2,0,0,0,0,24,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNM_M_R,Wetland,0,0,0,2,0,0,0,0,72,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNM_M_R,Water,0,7,0,0,0,0,0,0,25,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_41WNM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,2,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41WNM_M_R,Shrubland,0,0,0,3,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41WNM_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41WNM_M_R,Wetland,0,0,0,31,0,0,0,0,0,8,0,0
SIBERIA_2024_GSW_Yearly_2021_41WNM_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
SIBERIA_2024_GSW_Yearly_2021_41WNM_M_R,Bareland,0,0,0,3,0,0,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_41WNM_M_R,Water,0,0,0,0,0,0,0,0,0,32,0,0
SIBERIA_2024_GSW_Yearly_2021_41WNM_M_R,Forest,0,0,0,21,0,0,0,0,0,6,0,0
SIBERIA_2024_GSW_Yearly_2021_41WNM_M_R,Grassland,0,0,0,1,0,0,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_41WNM_M_R,Built-up,0,0,0,12,0,0,0,0,0,2,0,0
SIBERIA_2024_GLC_FCS30D_2022_41WNM_M_R,Water,5,7,6,0,12,13,10,19,0,0,14,0
SIBERIA_2024_GLC_FCS30D_2022_41WNM_M_R,Cropland,0,0,2,0,2,0,0,1,0,0,3,0
SIBERIA_2024_GLC_FCS30D_2022_41WNM_M_R,Wetland,7,0,6,2,10,4,10,12,0,0,12,0
SIBERIA_2024_GLC_FCS30D_2022_41WNM_M_R,Bareland,0,0,0,0,2,0,0,0,0,0,2,0
SIBERIA_2024_GLC_FCS30D_2022_41WNM_M_R,Built-up,2,2,5,0,8,0,6,12,0,0,9,0
SIBERIA_2024_GLC_FCS30D_2022_41WNM_M_R,Permanent_ice_and_snow,0,0,0,0,2,0,1,1,0,0,1,0
SIBERIA_2024_GLC_FCS30D_2022_41WNM_M_R,Forest,5,3,3,2,0,7,9,13,0,0,12,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNM_M_R,Wetland,0,0,0,9,10,10,7,4,0,0,0,6
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNM_M_R,Forest,0,3,0,2,0,2,1,1,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNM_M_R,Water,0,15,0,0,12,3,0,2,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNM_M_R,Grassland,0,3,0,2,1,2,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNM_M_R,Built-up,0,2,0,2,1,0,0,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_41WNM_M_R,Bareland,0,0,0,2,0,3,0,0,0,0,0,0
