Dataset,MajorityClass,Grassland,Wetland,Lichens_and_Mosses,Bareland,Water,Permanent_ice_and_snow,Forest,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland
SIBERIA_2024_WorldCover_2021_45WWR_M_R,Shrubland,3,3,3,3,2,1,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWR_M_R,Grassland,0,3,3,2,1,0,3,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWR_M_R,Wetland,33,0,31,29,29,1,33,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWR_M_R,Lichens_and_Mosses,2,3,0,1,0,0,2,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWR_M_R,Bareland,9,12,10,0,11,1,12,1,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWR_M_R,Built-up,10,8,6,11,6,0,13,0,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWR_M_R,Water,36,37,37,38,0,1,37,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWR_M_R,Permanent_ice_and_snow,16,18,24,17,14,0,19,2,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWR_M_R,Forest,19,22,22,17,14,3,0,3,0,0,0,0
SIBERIA_2024_WorldCover_2021_45WWR_M_R,Cropland,4,5,6,1,1,0,3,0,0,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWR_M_R,Shrubland,0,0,0,0,0,0,0,0,3,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWR_M_R,Grassland,0,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWR_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,6,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWR_M_R,Bareland,0,3,0,0,1,0,0,0,15,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWR_M_R,Built-up,0,0,0,0,0,0,0,0,8,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWR_M_R,Forest,0,3,0,0,2,0,0,0,25,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWR_M_R,Cropland,0,0,0,0,0,0,0,0,5,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWR_M_R,Wetland,0,0,0,0,2,0,0,0,104,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWR_M_R,Water,0,7,0,0,0,0,0,0,28,0,0,0
SIBERIA_2024_GWL_FCS30D_2022_45WWR_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,18,0,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWR_M_R,Shrubland,0,0,0,0,5,0,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWR_M_R,Grassland,0,0,0,0,8,0,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWR_M_R,Wetland,0,0,0,0,59,0,0,0,0,11,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWR_M_R,Lichens_and_Mosses,0,0,0,0,5,0,0,0,0,1,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWR_M_R,Bareland,0,0,0,0,23,0,0,0,0,5,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWR_M_R,Built-up,0,0,0,0,14,0,0,0,0,2,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWR_M_R,Water,0,0,0,0,0,0,0,0,0,61,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWR_M_R,Permanent_ice_and_snow,0,0,0,0,32,0,0,0,0,5,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWR_M_R,Forest,0,0,0,0,41,0,0,0,0,8,0,0
SIBERIA_2024_GSW_Yearly_2021_45WWR_M_R,Cropland,0,0,0,0,0,0,0,0,0,1,0,0
SIBERIA_2024_GLC_FCS30D_2022_45WWR_M_R,Water,19,7,13,22,0,0,20,24,0,0,23,0
SIBERIA_2024_GLC_FCS30D_2022_45WWR_M_R,Cropland,3,0,0,5,0,0,3,1,0,0,4,0
SIBERIA_2024_GLC_FCS30D_2022_45WWR_M_R,Wetland,15,0,11,14,2,0,14,17,0,0,17,0
SIBERIA_2024_GLC_FCS30D_2022_45WWR_M_R,Bareland,2,3,0,0,1,0,10,7,0,0,9,0
SIBERIA_2024_GLC_FCS30D_2022_45WWR_M_R,Built-up,5,0,0,10,0,0,4,0,0,0,7,0
SIBERIA_2024_GLC_FCS30D_2022_45WWR_M_R,Permanent_ice_and_snow,12,0,6,19,1,0,16,15,0,0,18,0
SIBERIA_2024_GLC_FCS30D_2022_45WWR_M_R,Forest,14,3,6,17,2,2,0,18,0,0,18,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWR_M_R,Grassland,0,3,0,1,2,3,3,1,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWR_M_R,Bareland,0,3,0,0,2,3,3,3,0,0,0,2
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWR_M_R,Water,0,23,0,17,0,24,22,10,0,0,0,4
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWR_M_R,Forest,0,3,0,2,2,3,0,2,0,0,0,1
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWR_M_R,Lichens_and_Mosses,0,3,0,0,2,1,1,0,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWR_M_R,Wetland,0,0,0,10,11,16,16,3,0,0,0,0
SIBERIA_2024_ESRI_Annual_LULC_2024_45WWR_M_R,Built-up,0,0,0,0,1,2,0,0,0,0,0,0
